NHL_player_ID, player,season,timeOnIce,ot,shutouts,wins,ties,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,savePercentage,goalAgainstAverage,games,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
8471219,Al Montoya,20122013,351:21,0,1,3,NA,1,151,19,2,130,3,143,22,0.899,2.9031,7,5,168,17,86.36363636363636,66.66666666666666,90.9090909090909,
8471219,Al Montoya,20132014,1540:54,3,2,13,NA,8,678,79,18,581,20,628,89,0.92,2.2974,28,22,737,59,88.76404494382022,90.0,92.51592356687898,
8471219,Al Montoya,20142015,976:56,2,0,6,NA,7,404,51,11,342,13,382,58,0.892,3.0094,20,13,453,49,87.93103448275862,84.61538461538461,89.52879581151832,
8471219,Al Montoya,20152016,1351:14,3,0,12,NA,7,559,84,12,463,13,503,92,0.919,2.1758,25,22,608,49,91.30434782608695,92.3076923076923,92.04771371769384,
8471219,Al Montoya,20162017,1124:53,4,2,8,NA,6,519,65,9,445,9,483,77,0.912,2.6669,19,18,569,50,84.4155844155844,100.0,92.13250517598344,
8471219,Al Montoya,20172018,222:31,0,0,2,0,1,88,14,4,70,4,78,20,0.863,3.77,4,3,102,14,70.0,100.0,89.74358974358975,
8471219,Al Montoya,20172018,469:13,2,0,2,0,2,221,16,4,201,5,218,21,0.906,2.94,9,5,244,23,76.19047619047619,80.0,92.20183486238533,
8471227,Devan Dubnyk,20092010,1075:26,2,0,4,NA,10,515,94,8,413,8,458,113,0.889,3.5707,19,16,579,64,83.1858407079646,100.0,90.17467248908298,
8471227,Devan Dubnyk,20102011,2061:04,8,2,12,NA,13,1010,200,20,790,20,858,225,0.916,2.7073,35,33,1103,93,88.88888888888889,100.0,92.07459207459208,
8471227,Devan Dubnyk,20112012,2653:27,3,2,20,NA,20,1262,176,25,1061,29,1145,206,0.914,2.6682,47,42,1380,118,85.43689320388349,86.20689655172413,92.66375545851528,
8471227,Devan Dubnyk,20122013,2100:57,6,2,14,NA,16,1042,186,20,836,20,907,205,0.92,2.5703,38,37,1132,90,90.73170731707317,100.0,92.17199558985666,
8471227,Devan Dubnyk,20132014,1677:40,2,2,11,NA,17,791,134,22,635,27,708,150,0.894,3.3618,32,29,885,94,89.33333333333333,81.48148148148148,89.68926553672316,
8471227,Devan Dubnyk,20132014,123:57,1,0,0,NA,1,51,1,1,49,1,54,5,0.85,4.3566,2,2,60,9,20.0,100.0,90.74074074074075,
