GameID,GameType,HomeTeamID,AwayTeamID,HomeTeamName,AwayTeamName,Winner,Date,HomeScore,AwayScore,HomeShots,AwayShots,HomeGiveaways,AwayGiveaways,HomeTakeaways,AwayTakeaways,HomeFO,AwayFO,HomePIM,AwayPIM,HomePPG,AwayPPG,HomePPA,AwayPPA,HomeHits,AwayHits,HomeFaceoff,AwayFaceoff,P1HomeScore,P1AwayScore,P1HomeShots,P1AwayShots,P2HomeScore,P2AwayScore,P2HomeShots,P2AwayShots,P3HomeScore,P3AwayScore,P3HomeShots,P3AwayShots,GoalieWin,GoalieLoss,FirstStar,SecondStar,ThirdStar
2018010029,PR,8,13,Montréal Canadiens,Florida Panthers,13,2018-09-19,2,5,33,41,17,10,7,11,29,21,1.0,1.0,6.0,6.0,32,20,44.4,55.6,1,2,5,11,0,0,16,17,1,3,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010030,PR,9,10,Ottawa Senators,Toronto Maple Leafs,10,2018-09-19,1,4,25,28,17,15,8,9,6,8,1.0,0.0,3.0,2.0,29,21,42.3,57.7,0,0,7,6,0,1,12,14,1,3,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010031,PR,30,19,Minnesota Wild,St. Louis Blues,19,2018-09-19,2,3,2,3,0,0,0,0,6,6,0.0,1.0,2.0,2.0,0,0,0.0,0.0,2,1,2,1,0,0,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010032,PR,23,20,Vancouver Canucks,Calgary Flames,20,2018-09-19,1,4,39,32,2,3,3,3,6,12,0.0,0.0,5.0,2.0,16,20,46.4,53.6,0,2,16,11,0,1,10,10,1,1,13,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010048,PR,5,29,Pittsburgh Penguins,Columbus Blue Jackets,5,2018-09-22,7,3,38,33,3,2,4,3,8,4,0.0,1.0,2.0,4.0,26,23,48.6,51.4,2,0,15,9,2,1,15,15,3,2,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010049,PR,30,21,Minnesota Wild,Colorado Avalanche,30,2018-09-22,7,0,33,16,8,4,5,3,6,12,1.0,0.0,6.0,3.0,8,14,53.2,46.8,1,0,12,5,3,0,11,7,3,0,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010050,PR,7,10,Buffalo Sabres,Toronto Maple Leafs,10,2018-09-22,2,3,35,31,12,5,3,2,14,18,1.0,1.0,4.0,2.0,24,9,58.2,41.8,1,0,9,12,1,2,12,12,0,1,14,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010051,PR,17,6,Detroit Red Wings,Boston Bruins,17,2018-09-22,4,3,25,26,7,11,4,2,15,13,1.0,1.0,4.0,5.0,32,25,56.4,43.6,2,1,10,9,0,0,5,7,1,2,8,10,0,0,NA,NA,NA,NA,NA,NA,NA,2,
2018010052,PR,8,9,Montréal Canadiens,Ottawa Senators,8,2018-09-22,3,2,32,18,15,11,6,3,6,8,0.0,0.0,4.0,3.0,24,18,54.5,45.5,0,1,7,3,1,1,11,8,2,0,14,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010053,PR,2,3,New York Islanders,New York Rangers,2,2018-09-22,5,2,32,29,0,0,0,0,17,17,2.0,1.0,4.0,4.0,0,0,0.0,0.0,1,1,14,10,3,1,12,6,1,0,6,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010054,PR,14,18,Tampa Bay Lightning,Nashville Predators,14,2018-09-22,5,2,23,24,12,5,6,7,4,4,0.0,0.0,1.0,1.0,32,21,40.0,60.0,0,1,11,12,2,1,6,7,3,0,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010055,PR,25,13,Dallas Stars,Florida Panthers,13,2018-09-22,3,4,23,29,0,0,0,0,4,8,1.0,1.0,4.0,2.0,0,0,0.0,0.0,0,0,6,6,3,2,8,8,0,1,9,14,1,1,NA,NA,NA,NA,NA,NA,NA,0,
2018010056,PR,53,24,Arizona Coyotes,Anaheim Ducks,53,2018-09-22,6,1,37,41,3,4,4,2,11,15,2.0,0.0,5.0,3.0,27,28,44.8,55.2,1,0,13,12,3,0,11,15,2,1,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010057,PR,20,23,Calgary Flames,Vancouver Canucks,20,2018-09-22,5,2,22,29,13,8,4,6,16,6,1.0,2.0,3.0,8.0,16,13,43.1,56.9,2,1,10,9,2,0,9,7,1,1,3,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010058,PR,28,54,San Jose Sharks,Vegas Golden Knights,54,2018-09-22,4,4,24,31,18,11,16,7,4,6,0.0,0.0,3.0,2.0,24,25,56.7,43.3,2,1,10,10,2,1,8,8,0,2,5,9,4,0,NA,NA,NA,NA,NA,NA,NA,1,
2018010059,PR,29,19,Columbus Blue Jackets,St. Louis Blues,19,2018-09-23,1,5,17,27,4,3,6,5,8,8,0.0,1.0,3.0,3.0,12,18,44.4,55.6,1,1,6,8,0,3,6,10,0,1,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010060,PR,5,17,Pittsburgh Penguins,Detroit Red Wings,17,2018-09-23,2,3,31,33,4,7,3,3,12,12,0.0,0.0,5.0,5.0,21,30,50.7,49.3,1,0,11,7,1,3,8,13,0,0,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010061,PR,52,22,Winnipeg Jets,Edmonton Oilers,52,2018-09-23,5,3,21,41,13,6,10,6,6,8,2.0,1.0,4.0,3.0,13,16,63.9,36.1,1,2,4,11,2,0,5,18,2,1,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010062,PR,3,1,New York Rangers,New Jersey Devils,3,2018-09-24,4,3,39,26,18,21,16,7,16,14,1.0,0.0,2.0,3.0,28,30,49.1,50.9,0,0,10,7,2,1,14,8,1,2,13,10,1,0,NA,NA,NA,NA,NA,NA,NA,2,
2018010063,PR,4,6,Philadelphia Flyers,Boston Bruins,6,2018-09-24,3,4,37,28,13,5,4,4,10,8,1.0,0.0,3.0,3.0,30,31,52.4,47.6,0,2,8,13,0,1,18,9,3,1,11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010064,PR,10,8,Toronto Maple Leafs,Montréal Canadiens,8,2018-09-24,1,5,30,36,14,8,9,7,10,10,0.0,0.0,4.0,4.0,31,35,62.5,37.5,0,2,18,12,1,3,7,11,0,0,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010065,PR,25,30,Dallas Stars,Minnesota Wild,25,2018-09-24,5,3,37,30,7,4,11,3,8,6,1.0,2.0,3.0,4.0,14,23,54.5,45.5,1,1,14,11,2,1,16,11,2,1,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2018010066,PR,20,52,Calgary Flames,Winnipeg Jets,52,2018-09-24,4,5,38,26,16,9,11,11,8,8,0.0,1.0,3.0,3.0,8,28,53.4,46.6,2,1,11,6,0,2,10,9,2,1,17,10,1,1,NA,NA,NA,NA,NA,NA,NA,0,
2018010067,PR,26,23,Los Angeles Kings,Vancouver Canucks,26,2018-09-24,4,1,26,29,0,0,0,0,12,12,0.0,0.0,5.0,5.0,0,0,0.0,0.0,1,0,9,5,1,1,11,10,2,0,6,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,
